,id,names,address,area code,phone,web,description,category,city,link,openstreetmap,lat,long,latlong
54,55,Dinamic Fitness - ZONA PORTALES,3ra. Av. 10-10 Zona 17 km. 4.5 Ruta al Atlantico Zona Portales,502.0,22171111,https://dinamic.com.gt/,"Somos un nuevo tipo de gym, un lugar para ponerte en forma. ¡Un lugar para ser feliz!Nuestros programas de ejercicios están diseñados bajo una planificación de entrenamiento cardiovascular y de fuerza. Todo con un soporte científico que garantiza que obtendrás resultados de forma segura.",Pesas,Guatemala - Guatemala,"https://www.google.com/maps/place/Dinamic+Fitness+Portales/@14.646914,-90.4917484,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a32223495f6f:0xd03bda381450c21b!8m2!3d14.6469142!4d-90.4829936","geo:14.64574,-90.48184?z=19",14.64574,-90.48184,"(14.64574, -90.48184)"
55,56,Equinox Gym Santa Amelia,"Blvd. Hospital Militar 13-27, Zona 16",502.0,22610572,https://directorio.guatemala.com/listing_reports.php?report=website&id=288,"Equinox Gym es más que un gimnasio, es un estilo de vida. Con tres sucursales en las áreas más importantes del país, Equinox espera satisfacer a todos sus clientes con excelentes resultados.",Pesas,Guatemala - Guatemala,"https://www.google.com/maps/place/Centro+Comercial+Santa+Amelia/@14.6469113,-90.5180132,13z/data=!4m8!1m2!2m1!1ssanta+amelia!3m4!1s0x8589a2e8fc8ea9b3:0x3260c4f090cd8278!8m2!3d14.6250522!4d-90.4714391","geo:14.62604,-90.47016?z=19",14.62604,-90.47016,"(14.62604, -90.47016)"
56,57,Escuela Cubana de Baile,Bulevar Vista Hermosa 2a. calle 14-85 zona 15,502.0,23695571,https://es-la.facebook.com/Escuela-Cubana-de-Baile-110562958135/,"La Escuela Cubana de Baile es un espacio perfecto para aprender a bailar ritmos latinos. Salsa, merengue, bachata, baile en parejas y mucho más. Lo mejor es que son clases personalizadas con muchos ritmos que seguro te encantarán. Cuentan con distintos niveles y podrás aprender el baile en parejas.",Baile,Guatemala - Guatemala,"https://www.google.com/maps/place/Escuela+Cubana+de+Baile/@14.6046467,-90.5096162,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a3b16a2fd8a3:0xa422358d8a21aa75!8m2!3d14.6046469!4d-90.5008614","geo:14.60466,-90.50085?z=18",14.60466,-90.50085,"(14.60466, -90.50085)"
57,58,Estudio Internacional Awalim Danza Árabe,"3ra calle, 3-59 zona 1 La casona",502.0,52802307,https://www.facebook.com/AwalimInternacional/?ref=page_internal,Espacio internacional para el aprendizaje de la Danza Árabe. Único en Centro América con las mejores experiencias e intercambios culturales en el exterior.,Baile,Guatemala - Guatemala,"https://www.google.com/maps/place/Centro+Cultural+%22La+Casona%22/@14.6463551,-90.5241979,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a2101e81e7dd:0x2f6df23911930837!8m2!3d14.6463553!4d-90.5154431","geo:14.64650,-90.51538?z=18",14.6465,-90.51538,"(14.6465, -90.51538)"
58,59,Evolution Gym,"Calle Martí, 8a Av zona 2",502.0,25036868,https://www.facebook.com/evolutionenergym/,Gym ,Pesas,Puerto Barrios - Izabal,"https://www.google.com/maps/place/Evolution+Energym/@14.6513959,-90.51198,17.52z/data=!4m5!3m4!1s0x8589a20c6dbf8819:0x639b380e2acda09!8m2!3d14.6515681!4d-90.5102041","geo:14.65151,-90.51018?z=18",14.65151,-90.51018,"(14.65151, -90.51018)"
59,60,Exerzone,"Blvd. San Cristóbal, 5a. Avenida 3-05 Sector A-3",502.0,22465555,https://www.facebook.com/exerzone/,"Health, fun and fitness! Comienza una nueva vida en Exerzone, el gimnasio que te ofrece salud, diversión y mucho más. Clases de baile, aeróbicos, zumba, insanity, pilates, pole dance y otras actividades para ti.","Pesas, Baile",Guatemala - Guatemala,"https://www.google.com/maps/place/Exerzone/@14.6129942,-90.6106184,15z/data=!3m1!4b1!4m5!3m4!1s0x85890a80224c197f:0xb88037363aa65ccf!8m2!3d14.6129944!4d-90.6018636","geo:14.61295,-90.60181?z=18",14.61295,-90.60181,"(14.61295, -90.60181)"
60,61,Fed. Nac. De Tenis De Campo De Guatemala,3 Calle 16-75 Zona 15 Colonia Minerva,502.0,23698771,https://www.fedetenisguate.com/,Tenis,Tenis,Guatemala - Guatemala,"https://www.google.com/maps/place/Federaci%C3%B3n+Nacional+de+Tennis+de+Guatemala/@14.6025577,-90.506145,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a3afd5e578e7:0x59741c091facc354!8m2!3d14.6025579!4d-90.4973902","geo:14.60224,-90.49769?z=17",14.60224,-90.49769,"(14.60224, -90.49769)"
61,62,Federación Nacional De Ajedrez De Guatemala,Av 10 A 25-01 Z 5,502.0,23608267,http://www.ajedrezfenag.com/,Ajedrez,Ajedrez,Guatemala - Guatemala,"https://www.google.com/maps/place/Federacion+Nacional+de+Ajedrez+Guatemala/@14.6239389,-90.5187886,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a239db30c07b:0x65919102ec61df47!8m2!3d14.6239391!4d-90.5100338","geo:14.62408,-90.51017?z=18",14.62408,-90.51017,"(14.62408, -90.51017)"
62,63,Federacion Nacional De Baloncesto,Gimnasio Nacional Teodoro Palacios Flores Z.5,502.0,23619851,http://www.fnbg.com.gt/,Baloncesto,Baloncesto,Guatemala - Guatemala,"https://www.google.com/maps/place/Gimnasio+Teodoro+Palacios+Flores,+Cdad.+de+Guatemala,+Guatemala/@14.6231655,-90.5188091,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a2376297e9f1:0x9fe3d4ab96106e3a!8m2!3d14.6230676!4d-90.5102778","geo:14.52347,-90.56876?z=19",14.52347,-90.56876,"(14.52347, -90.56876)"
63,64,Federación Nacional De Beisbol,Av Simeon Cañas Final Zona 2,502.0,22541119,https://www.facebook.com/FedebeisGuate/,Beisbol,Beisbol,Guatemala - Guatemala,"https://www.google.com/maps/place/Enrique+Trapo+Torrebiarte,+Cdad.+de+Guatemala,+Guatemala/@14.6594384,-90.5116038,17.28z/data=!4m8!1m2!2m1!1sfinal+avenida+simeon+ca%C3%B1as+zona+2!3m4!1s0x858998a0facf39bd:0x55f1dab2ab3a2d3!8m2!3d14.6607765!4d-90.51013","geo:14.66075,-90.51011?z=19",14.66075,-90.51011,"(14.66075, -90.51011)"
64,65,Federación Nacional De Boxeo De Guatemala,24 Cl Palacio De Los Deportes 9-31 Zona 4,502.0,23618263,https://www.guatemalaboxeo.com.gt/,Boxeo,Boxeo,Guatemala - Guatemala,"https://www.google.com/maps/place/CDAG/@14.6233809,-90.5214317,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a23a0ac615f9:0xc255d05a9437fb96!8m2!3d14.6233811!4d-90.5126769","geo:14.62289,-90.51273?z=19",14.62289,-90.51273,"(14.62289, -90.51273)"
65,66,Federacion Nacional De Ciclismo De Guatemala,26 Cl 9-31 Z.5,502.0,23323979,http://fedeciclismogua.org/,Ciclismo,Ciclismo,Guatemala - Guatemala,"https://www.google.com/maps/place/Vel%C3%B3dromo+Nacional+de+Guatemala/@14.5955452,-90.5410631,15z/data=!4m8!1m2!2m1!1sFederacion+Nacional+De+Ciclismo+De+Guatemala!3m4!1s0x8589a1644804605f:0x5b966a441c8907ef!8m2!3d14.5955452!4d-90.5323084","geo:14.62328,-90.51261?z=18",14.62328,-90.51261,"(14.62328, -90.51261)"
66,67,Federación Nacional De Esgrima C.D.A.G.,12 Av 25 Cl Zona 5,502.0,23312680,https://www.esgrimaguatemala.gt/,Esgrima,Esgrima,Guatemala - Guatemala,"https://www.google.com/maps/place/CDAG/@14.6233809,-90.5214317,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a23a0ac615f9:0xc255d05a9437fb96!8m2!3d14.6233811!4d-90.5126769","geo:14.62433,-90.50976?z=18",14.62433,-90.50976,"(14.62433, -90.50976)"
67,68,"Federacion Nacional De Natacion, Clavados, Polo Acuatico Y Nado Sincronizado",10 Av Z-4,502.0,23341075,http://www.fenadegua.gt,Natacion,Natacion,Guatemala - Guatemala,"https://www.google.com/maps/place/FEDERACION+DE+NATACION+ZONA+15/@14.6026979,-90.5345333,13z/data=!4m8!1m2!2m1!1sFederacion+Nacional+De+Natacion,+Clavados,+Polo+Acuatico+Y+Nado+Sincronizado!3m4!1s0x0:0xdf14fde24e3e04d4!8m2!3d14.6027603!4d-90.4979253","geo:14.60224,-90.49769?z=17",14.60224,-90.49769,"(14.60224, -90.49769)"
